40 15 10 35 35 15 25 15 25 35 35 25 35 100 100 100 100 100
32.56 14.56 32.20 32.20 24.84 21.02 31.58 17.80 15.56 26.40 16.64 26.40 46.87 45.35 42.45 40.71 22.85 28.23 16.49 29.27 39.20 46.17 27.78 37.64 15.23 44.28 46.82 37.36 27.29 46.23 48.37 47.93 44.05 34.66 45.35
34.41 20.22 23.85 16.40 36.25 36.07 47.42 43.29 50.29 23.43 9.43 21.19 13.00 25.18 32.70 27.46 47.42 49.03 10.44 12.21 23.32 34.99 30.15 18.00 12.04 15.62 37.20 35.51 30.15 31.62 17.69 14.42 30.81 20.81
25.00 42.72 33.54 35.36 45.04 15.00 29.15 40.31 11.18 32.02 53.15 47.17 51.48 52.20 35.36 42.72 22.36 26.93 36.40 40.00 14.14 26.93 22.36 44.28 50.00 50.36 13.45 55.90 39.29 51.86 41.76 23.26 40.11
41.23 31.62 46.10 50.54 40.00 47.17 57.01 15.81 25.50 41.23 29.15 45.00 50.99 40.31 56.57 46.10 10.00 14.14 15.00 18.03 10.00 25.00 24.21 33.54 53.49 18.87 50.00 16.40 36.25 19.21 10.77 15.30
10.00 20.62 13.93 50.00 33.54 35.36 35.36 15.81 20.00 29.15 11.18 10.00 11.18 30.00 46.10 31.62 36.06 47.17 50.25 50.99 20.62 32.65 26.93 13.45 50.36 14.14 55.04 25.96 37.54 50.36 44.65
20.62 19.85 42.43 30.41 35.36 25.50 7.07 22.36 25.50 18.03 20.00 11.18 31.62 40.31 22.36 28.28 39.05 40.31 41.23 11.18 27.31 25.00 21.93 40.45 22.36 46.14 25.18 30.81 40.45 36.80
12.21 36.40 14.14 15.00 33.54 26.93 40.31 46.10 31.62 25.00 10.00 11.18 29.15 39.05 47.17 57.01 47.43 54.08 21.21 47.76 45.28 18.60 47.13 33.54 62.24 45.04 50.54 51.97 55.22
48.10 26.25 24.17 40.79 26.91 33.38 42.94 23.00 13.93 10.44 17.72 41.34 41.88 48.10 58.90 55.58 59.62 26.25 46.04 40.85 6.40 55.44 23.54 65.73 39.85 50.33 58.19 56.64
25.00 35.36 25.50 43.01 64.03 60.42 60.21 58.31 40.31 40.00 11.18 41.23 50.99 55.00 26.93 41.23 32.02 58.19 62.65 54.23 26.00 64.03 53.94 64.14 56.29 37.36 55.08
11.18 32.02 35.00 52.20 55.00 44.72 39.05 22.36 15.00 15.81 42.72 52.20 60.42 43.01 53.15 25.50 55.33 55.23 32.65 42.44 47.17 63.51 55.58 56.52 50.21 59.24
42.43 41.23 55.23 60.83 46.10 38.08 25.00 7.07 25.00 51.48 60.42 69.46 54.08 63.64 33.54 62.10 60.21 30.02 53.54 47.43 73.41 60.03 64.26 60.88 68.00
22.36 43.01 36.06 42.72 45.28 30.41 43.01 30.41 15.81 25.50 30.41 15.00 21.21 15.00 33.11 39.05 45.18 15.03 47.43 31.76 41.04 30.81 18.60 30.07
21.21 20.00 20.62 25.50 18.03 38.08 42.72 15.81 21.21 32.02 36.40 35.36 11.18 20.88 20.62 28.65 36.69 25.50 39.36 21.54 23.85 35.01 29.73
15.81 11.18 22.36 30.41 50.00 62.65 31.62 30.00 40.31 55.90 50.99 32.02 21.59 11.18 30.68 56.36 14.14 50.09 8.60 28.44 51.92 37.34
25.00 35.36 36.40 57.01 61.85 21.21 15.81 25.00 46.10 38.08 30.41 6.00 5.00 42.20 46.75 29.15 35.06 8.00 13.00 39.82 22.00
11.18 22.36 40.31 57.01 35.00 36.40 47.43 57.01 55.00 29.15 30.02 21.21 19.65 57.28 5.00 56.52 19.21 36.25 55.15 44.60
18.03 31.62 53.15 41.23 44.72 55.90 60.21 60.83 30.41 39.82 32.02 9.00 60.30 10.00 64.26 30.23 45.49 60.30 53.24
20.62 35.36 32.02 39.05 49.50 45.28 49.24 15.81 38.48 35.36 15.03 45.18 25.00 55.80 35.06 41.88 47.76 47.42
30.41 50.00 58.31 68.01 55.90 64.03 32.02 58.87 55.90 23.26 55.46 41.23 72.86 55.44 61.72 61.61 66.29
45.00 55.00 60.83 36.06 49.24 31.62 60.67 63.25 47.71 35.23 60.21 61.35 64.26 60.03 45.62 60.41
10.00 18.03 25.00 20.00 18.03 17.49 25.00 44.28 25.61 40.00 23.85 27.46 15.13 20.40 16.55
11.18 32.02 22.36 26.93 10.30 20.62 49.41 32.80 41.23 20.22 23.54 5.39 24.41 8.60
31.62 18.03 36.06 19.00 30.00 60.46 32.57 52.20 10.20 33.00 12.00 21.47 3.00
15.00 30.00 41.73 50.00 60.13 1.00 61.85 28.00 52.43 37.20 11.00 32.70
33.54 32.65 42.72 62.94 16.00 60.00 13.00 45.54 26.63 4.00 19.85
36 46
97 107
28 38
107 117
163 173
95 105
88 98
27 37
70 80
157 167
61 71
177 187
198 208
157 167
114 124
71 81
73 83
127 137
48 58
159 169
23 33
50 60
119 129
180 190
137 147
0 230
0 230
0 230
0 230
0 230
0 230
0 230
0 230
0 230
0 230
0 230
0 230
0 230
0 230
0 230
30.02 31.62 30.27 30.02 33.54 41.04 32.70 31.05 31.95 34.48 0 0 0 0 0
10 7 13 19 26 3 5 9 16 16 12 19 23 20 8 19 2 12 17 9 11 18 29 3 6
